index,pubid,question,gold_label,prediction,raw_answer,response_status,is_valid,is_correct,used_tools,search_count
66,12380309,Should circumcision be performed in childhood?,no,maybe,maybe,completed,True,False,"vector_search,pubmed_search",2
67,22186742,Does a colonoscopy after acute diverticulitis affect its management?,no,yes,yes,completed,True,False,pubmed_search,1
68,22188074,Do instrumental activities of daily living predict dementia at 1- and 2-year follow-up?,yes,yes,yes,completed,True,True,"vector_search,pubmed_search",2
69,27989969,Does the Simultaneous Use of a Neuroendoscope Influence the Incidence of Ventriculoperitoneal Shunt Infection?,no,no,no,completed,True,True,pubmed_search,1
70,18607272,"Body perception: do parents, their children, and their children's physicians perceive body image differently?",yes,yes,yes,completed,True,True,pubmed_search,1
71,18235194,Is a specialised training of phonological awareness indicated in every preschool child?,maybe,no,no,completed,True,False,pubmed_search,1
72,18049437,Is there any relationship between streptococcal infection and multiple sclerosis?,yes,maybe,maybe,completed,True,False,pubmed_search,1
73,15597845,Is the combination with 2-methoxyestradiol able to reduce the dosages of chemotherapeutices in the treatment of human ovarian cancer?,yes,maybe,maybe,completed,True,False,"vector_search,pubmed_search",2
74,24996865,Assessing joint line positions by means of the contralateral knee: a new approach for planning knee revision surgery?,yes,yes,yes,completed,True,True,vector_search,1
75,23361217,Does the type of tibial component affect mechanical alignment in unicompartmental knee replacement?,yes,yes,yes,completed,True,True,"pubmed_search,vector_search",2
76,17489316,Is tumour expression of VEGF associated with venous invasion and survival in pT3 renal cell carcinoma?,maybe,no,no,completed,True,False,pubmed_search,1
77,14518645,Injury and poisoning mortality among young men--are there any common factors amenable to prevention?,yes,yes,yes,completed,True,True,vector_search,1
78,20337202,Continuation of pregnancy after antenatal corticosteroid administration: opportunity for rescue?,maybe,yes,yes,completed,True,False,vector_search,1
79,26449554,Does either obesity or OSA severity influence the response of autotitrating CPAP machines in very obese subjects?,yes,yes,yes,completed,True,True,vector_search,1
80,26215326,Does the clinical presentation of a prior preterm birth predict risk in a subsequent pregnancy?,yes,yes,yes,completed,True,True,pubmed_search,1
81,29112560,Is the Distance Worth It?,yes,maybe,maybe,completed,True,False,"vector_search,pubmed_search",2
82,24315783,Aripiprazole: a new risk factor for pathological gambling?,yes,maybe,maybe,completed,True,False,vector_search,1
83,9381529,Immune suppression by lysosomotropic amines and cyclosporine on T-cell responses to minor and major histocompatibility antigens: does synergy exist?,yes,yes,yes,completed,True,True,pubmed_search,1
84,8985020,Does induction chemotherapy have a role in the management of nasopharyngeal carcinoma?,yes,yes,yes,completed,True,True,pubmed_search,1
85,26708803,Treatment of contralateral hydrocele in neonatal testicular torsion: Is less more?,maybe,yes,yes,completed,True,False,pubmed_search,1
86,22427593,"Are normally sighted, visually impaired, and blind pedestrians accurate and reliable at making street crossing decisions?",maybe,maybe,maybe,completed,True,True,pubmed_search,1
87,11570976,Is it Crohn's disease?,maybe,maybe,maybe,completed,True,True,"vector_search,pubmed_search",2
88,19757704,Is Chaalia/Pan Masala harmful for health?,yes,yes,yes,completed,True,True,"vector_search,pubmed_search",2
89,27592038,Does multi-modal cervical physical therapy improve tinnitus in patients with cervicogenic somatic tinnitus?,yes,yes,yes,completed,True,True,pubmed_search,1
90,27044366,Detailed analysis of sputum and systemic inflammation in asthma phenotypes: are paucigranulocytic asthmatics really non-inflammatory?,maybe,no,no,completed,True,False,vector_search,1
91,9792366,Is HIV/STD control in Jamaica making a difference?,yes,maybe,maybe,completed,True,False,"pubmed_search,vector_search",2
92,17562682,Is Panton-Valentine leucocidin associated with the pathogenesis of Staphylococcus aureus bacteraemia in the UK?,maybe,no,no,completed,True,False,pubmed_search,1
93,15800018,Are even impaired fasting blood glucose levels preoperatively associated with increased mortality after CABG surgery?,yes,yes,yes,completed,True,True,pubmed_search,1
94,14978612,Does positron emission tomography change management in primary rectal cancer?,yes,yes,yes,completed,True,True,vector_search,1
95,18843057,Can you deliver accurate tidal volume by manual resuscitator?,no,no,no,completed,True,True,"pubmed_search,vector_search",2
96,23076787,Can increases in the cigarette tax rate be linked to cigarette retail prices?,no,yes,yes,completed,True,False,pubmed_search,1
97,9199905,Vertical lines in distal esophageal mucosa (VLEM): a true endoscopic manifestation of esophagitis in children?,yes,yes,yes,completed,True,True,"pubmed_search,vector_search",2
98,23999452,Does hypoglycaemia increase the risk of cardiovascular events?,yes,yes,yes,completed,True,True,vector_search,1
99,22534881,Does the radiographic transition zone correlate with the level of aganglionosis on the specimen in Hirschsprung's disease?,no,no,no,completed,True,True,vector_search,1
100,24785562,Is dexamethasone an effective alternative to oral prednisone in the treatment of pediatric asthma exacerbations?,yes,yes,yes,completed,True,True,pubmed_search,1
정확도,55.6%,,,,,,,,,
