index,pubid,question,gold_label,prediction,is_valid,is_correct,retrieved_pmids,retrieved_count,input_tokens,output_tokens,total_tokens,latency_sec
28,17940352,Does HER2 immunoreactivity provide prognostic information in locally advanced urothelial carcinoma patients receiving adjuvant M-VEC chemotherapy?,maybe,maybe,TRUE,TRUE,17940352,1,473,270,743,2.305
29,20537205,Is halofantrine ototoxic?,yes,yes,TRUE,TRUE,20537205,1,322,121,443,1.653
30,28707539,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,yes,maybe,TRUE,FALSE,,0,84,175,259,2.047
31,7482275,Necrotizing fasciitis: an indication for hyperbaric oxygenation therapy?,no,maybe,TRUE,FALSE,425394313617342000000000,3,1206,520,1726,4.149
32,24183388,Is the Hawkins sign able to predict necrosis in fractures of the neck of the astragalus?,maybe,no,TRUE,FALSE,24183388,1,392,1038,1430,6.756
33,9645785,Is a mandatory general surgery rotation necessary in the surgical clerkship?,no,no,TRUE,TRUE,9645785,1,278,237,515,1.686
34,26298839,Is Acupuncture Efficacious for Treating Phonotraumatic Vocal Pathologies?,yes,yes,TRUE,TRUE,26298839,1,488,290,778,2.302
35,24153338,Is aneurysm repair justified for the patients aged 80 or older after aneurysmal subarachnoid hemorrhage?,yes,maybe,TRUE,FALSE,426653984250839000000000,3,1361,368,1729,3.301
36,18534072,Do general practice characteristics influence uptake of an information technology (IT) innovation in primary care?,no,yes,TRUE,FALSE,405155202788596000000000,3,24486,817,25303,5.669
37,8847047,Prognosis of well differentiated small hepatocellular carcinoma--is well differentiated hepatocellular carcinoma clinically early cancer?,no,no,TRUE,TRUE,8847047,1,456,153,609,2.187
38,10575390,Do follow-up recommendations for abnormal Papanicolaou smears influence patient adherence?,no,no,TRUE,TRUE,168819421557250000000000,3,1358,1010,2368,9.059
39,20084845,Biomolecular identification of allergenic pollen: a new perspective for aerobiological monitoring?,yes,maybe,TRUE,FALSE,,0,81,159,240,1.757
40,15703931,Does diabetes mellitus influence the efficacy of FDG-PET in the diagnosis of cervical cancer?,no,no,TRUE,TRUE,15703931,1,548,230,778,2.201
41,18269157,Biomechanical and wound healing characteristics of corneas after excimer laser keratorefractive surgery: is there a difference between advanced surface ablation and sub-Bowman's keratomileusis?,yes,maybe,TRUE,FALSE,,0,102,214,316,2.839
42,25489696,Does radiotherapy of the primary rectal cancer affect prognosis after pelvic exenteration for recurrent rectal cancer?,yes,yes,TRUE,TRUE,2548969618663460,2,887,302,1189,2.462
43,14599616,Can a practicing surgeon detect early lymphedema reliably?,maybe,yes,TRUE,FALSE,14599616,1,332,549,881,4.499
44,22537902,Colorectal cancer with synchronous liver metastases: does global management at the same centre improve results?,no,no,TRUE,TRUE,22537902,1,518,301,819,2.826
45,19054501,Is motion perception deficit in schizophrenia a consequence of eye-tracking abnormality?,yes,yes,TRUE,TRUE,19054501,1,425,519,944,5.407
46,16432652,Transgastric endoscopic splenectomy: is it possible?,yes,maybe,TRUE,FALSE,361576092258066000000000,3,1218,576,1794,7.934
47,19504993,It's Fournier's gangrene still dangerous?,yes,yes,TRUE,TRUE,19504993,1,363,196,559,1.667
48,20571467,Is it appropriate to implant kidneys from elderly donors in young recipients?,yes,yes,TRUE,TRUE,20571467,1,525,245,770,3.01
49,24237112,Do provider service networks result in lower expenditures compared with HMOs or primary care case management in Florida's Medicaid program?,yes,maybe,TRUE,FALSE,382871403686887000000000,3,1414,636,2050,6.376
50,21402341,Assessment of carotid artery stenosis before coronary artery bypass surgery. Is it always necessary?,no,maybe,TRUE,FALSE,354995002879027000000000,3,1296,577,1873,5.302
51,20082356,Should direct mesocolon invasion be included in T4 for the staging of gastric cancer?,maybe,yes,TRUE,FALSE,20082356,1,315,99,414,1.941
52,26606599,Do Surrogates of Injury Severity Influence the Occurrence of Heterotopic Ossification in Fractures of the Acetabulum?,maybe,yes,TRUE,FALSE,26606599,1,632,198,830,2.324
53,11340218,Does pretreatment with statins improve clinical outcome after stroke?,no,maybe,TRUE,FALSE,396034593363880000000000,3,1540,652,2192,6.012
54,25481573,Processing fluency effects: can the content and presentation of participant information sheets influence recruitment and participation for an antenatal intervention?,yes,yes,TRUE,TRUE,25481573,1,355,283,638,3.574
55,25277731,Sternal fracture in growing children : A rare and often overlooked fracture?,maybe,yes,TRUE,FALSE,25277731,1,267,351,618,4.327
56,25475395,Is there a correlation between androgens and sexual desire in women?,yes,maybe,TRUE,FALSE,,0,77,156,233,2.169
57,23177368,Does immediate breast reconstruction compromise the delivery of adjuvant chemotherapy?,no,no,TRUE,TRUE,309233592876063000000000,3,1347,352,1699,2.602
58,17179167,Human papillomavirus and pterygium. Is the virus a risk factor?,maybe,maybe,TRUE,TRUE,,0,80,120,200,2.019
59,14612308,Can PRISM predict length of PICU stay?,no,maybe,TRUE,FALSE,424967544215984000000000,3,1917,760,2677,6.079
60,27491658,Can predilatation in transcatheter aortic valve implantation be omitted?,yes,yes,TRUE,TRUE,316708812958873000000000,3,599,351,950,2.735
61,19822586,Autoerotic asphyxiation: secret pleasure--lethal outcome?,yes,yes,TRUE,TRUE,19822586,1,434,252,686,2.691
62,27643961,Major depression and alcohol use disorder in adolescence: Does comorbidity lead to poorer outcomes of depression?,no,no,TRUE,TRUE,27643961,1,453,413,866,2.752
63,23539689,Cold preparation use in young children after FDA warnings: do concerns still exist?,yes,yes,TRUE,TRUE,23539689,1,302,225,527,2.885
64,22453060,Does a 4 diagram manual enable laypersons to operate the Laryngeal Mask Supreme®?,yes,yes,TRUE,TRUE,22453060,1,553,337,890,2.714
65,22227642,Can we measure mesopic pupil size with the cobalt blue light slit-lamp biomicroscopy method?,no,yes,TRUE,FALSE,22227642,1,601,791,1392,5.101
66,12380309,Should circumcision be performed in childhood?,no,yes,TRUE,FALSE,426210954161795000000000,3,1535,675,2210,6.968
67,22186742,Does a colonoscopy after acute diverticulitis affect its management?,no,yes,TRUE,FALSE,423901263307702000000000,3,2803,398,3201,3.425
68,22188074,Do instrumental activities of daily living predict dementia at 1- and 2-year follow-up?,yes,yes,TRUE,TRUE,3891094222188070,2,969,229,1198,2.592
69,27989969,Does the Simultaneous Use of a Neuroendoscope Influence the Incidence of Ventriculoperitoneal Shunt Infection?,no,no,TRUE,TRUE,27989969,1,508,194,702,2.062
70,18607272,"Body perception: do parents, their children, and their children's physicians perceive body image differently?",yes,yes,TRUE,TRUE,341283523244434000000000,3,1498,1737,3235,15.283
71,18235194,Is a specialised training of phonological awareness indicated in every preschool child?,maybe,no,TRUE,FALSE,18235194,1,279,183,462,2.634
72,18049437,Is there any relationship between streptococcal infection and multiple sclerosis?,yes,yes,TRUE,TRUE,38796324180494300000000,3,1256,319,1575,3.151
73,15597845,Is the combination with 2-methoxyestradiol able to reduce the dosages of chemotherapeutices in the treatment of human ovarian cancer?,yes,maybe,TRUE,FALSE,15597845,1,448,637,1085,7.734
74,24996865,Assessing joint line positions by means of the contralateral knee: a new approach for planning knee revision surgery?,yes,maybe,TRUE,FALSE,,0,86,193,279,2.108
75,23361217,Does the type of tibial component affect mechanical alignment in unicompartmental knee replacement?,yes,yes,TRUE,TRUE,233612172143564000000000,3,1108,230,1338,1.965
76,17489316,Is tumour expression of VEGF associated with venous invasion and survival in pT3 renal cell carcinoma?,maybe,no,TRUE,FALSE,17489316,1,371,1010,1381,6.666
77,14518645,Injury and poisoning mortality among young men--are there any common factors amenable to prevention?,yes,yes,TRUE,TRUE,14518645,1,367,396,763,2.991
78,20337202,Continuation of pregnancy after antenatal corticosteroid administration: opportunity for rescue?,maybe,yes,TRUE,FALSE,20337202,1,374,466,840,6.527
79,26449554,Does either obesity or OSA severity influence the response of autotitrating CPAP machines in very obese subjects?,yes,maybe,TRUE,FALSE,427036974270368000000000,3,1515,369,1884,3.924
80,26215326,Does the clinical presentation of a prior preterm birth predict risk in a subsequent pregnancy?,yes,maybe,TRUE,FALSE,,0,80,171,251,3.348
81,29112560,Is the Distance Worth It?,yes,yes,TRUE,TRUE,426329064262137000000000,3,1704,892,2596,6.119
82,24315783,Aripiprazole: a new risk factor for pathological gambling?,yes,yes,TRUE,TRUE,3371329824315780,2,778,291,1069,3.263
83,9381529,Immune suppression by lysosomotropic amines and cyclosporine on T-cell responses to minor and major histocompatibility antigens: does synergy exist?,yes,yes,TRUE,TRUE,9381529,1,581,184,765,4.703
84,8985020,Does induction chemotherapy have a role in the management of nasopharyngeal carcinoma?,yes,yes,TRUE,TRUE,426052814089730000000000,3,1112,434,1546,4.675
85,26708803,Treatment of contralateral hydrocele in neonatal testicular torsion: Is less more?,maybe,yes,TRUE,FALSE,2670880318781220,2,1165,458,1623,8.329
86,22427593,"Are normally sighted, visually impaired, and blind pedestrians accurate and reliable at making street crossing decisions?",maybe,no,TRUE,FALSE,22427593,1,460,886,1346,5.767
87,11570976,Is it Crohn's disease?,maybe,no,TRUE,FALSE,427034394270199000000000,3,1235,498,1733,4.288
88,19757704,Is Chaalia/Pan Masala harmful for health?,yes,maybe,TRUE,FALSE,19757704,1,541,522,1063,4.562
89,27592038,Does multi-modal cervical physical therapy improve tinnitus in patients with cervicogenic somatic tinnitus?,yes,yes,TRUE,TRUE,27592038,1,517,318,835,2.668
90,27044366,Detailed analysis of sputum and systemic inflammation in asthma phenotypes: are paucigranulocytic asthmatics really non-inflammatory?,maybe,no,TRUE,FALSE,27044366,1,546,328,874,2.801
91,9792366,Is HIV/STD control in Jamaica making a difference?,yes,yes,TRUE,TRUE,9792366,1,588,193,781,2.458
92,17562682,Is Panton-Valentine leucocidin associated with the pathogenesis of Staphylococcus aureus bacteraemia in the UK?,maybe,no,TRUE,FALSE,231031722268789000000000,3,1307,544,1851,5.721
93,15800018,Are even impaired fasting blood glucose levels preoperatively associated with increased mortality after CABG surgery?,yes,yes,TRUE,TRUE,15800018,1,514,379,893,3.614
94,14978612,Does positron emission tomography change management in primary rectal cancer?,yes,yes,TRUE,TRUE,316504153133742000000000,3,1350,848,2198,5.894
95,18843057,Can you deliver accurate tidal volume by manual resuscitator?,no,no,TRUE,TRUE,18843057,1,453,173,626,2.291
96,23076787,Can increases in the cigarette tax rate be linked to cigarette retail prices?,no,no,TRUE,TRUE,23076787,1,366,318,684,2.728
97,9199905,Vertical lines in distal esophageal mucosa (VLEM): a true endoscopic manifestation of esophagitis in children?,yes,yes,TRUE,TRUE,9199905,1,467,1090,1557,5.706
98,23999452,Does hypoglycaemia increase the risk of cardiovascular events?,yes,maybe,TRUE,FALSE,426777014267111000000000,3,1651,623,2274,6.187
99,22534881,Does the radiographic transition zone correlate with the level of aganglionosis on the specimen in Hirschsprung's disease?,no,no,TRUE,TRUE,22534881,1,423,238,661,2.372
100,24785562,Is dexamethasone an effective alternative to oral prednisone in the treatment of pediatric asthma exacerbations?,yes,yes,TRUE,TRUE,321499912917330000000000,3,1320,304,1624,3.067
정확도,52%,,,,,,,,,,,
